# t(s)   slab-O_fcc    slab-OH_fcc    slab-H2O    H2O  
6.886886886886887105e-01 1.033322649725210984e-01 2.064964039539972027e-02 4.868294745449159059e-05 8.759694116846250544e-01
6.896896896896896889e-01 1.033322649726881176e-01 2.064964039543293675e-02 4.868294745448046397e-05 8.759694116844248812e-01
6.906906906906906674e-01 1.033322649728522086e-01 2.064964039546557037e-02 4.868294745446953385e-05 8.759694116842281497e-01
6.916916916916916458e-01 1.033322649730133574e-01 2.064964039549762112e-02 4.868294745445879348e-05 8.759694116840349709e-01
6.926926926926927353e-01 1.033322649731715920e-01 2.064964039552908900e-02 4.868294745444824961e-05 8.759694116838452338e-01
6.936936936936937137e-01 1.033322649733268983e-01 2.064964039555997402e-02 4.868294745443790225e-05 8.759694116836590494e-01
6.946946946946946921e-01 1.033322649734792764e-01 2.064964039559027617e-02 4.868294745442775141e-05 8.759694116834764177e-01
6.956956956956956706e-01 1.033322649736287124e-01 2.064964039561999892e-02 4.868294745441779708e-05 8.759694116832972277e-01
6.966966966966966490e-01 1.033322649737752341e-01 2.064964039564913534e-02 4.868294745440803248e-05 8.759694116831215904e-01
6.976976976976977385e-01 1.033322649739188276e-01 2.064964039567769236e-02 4.868294745439846440e-05 8.759694116829495059e-01
6.986986986986987169e-01 1.033322649740594928e-01 2.064964039570566651e-02 4.868294745438909283e-05 8.759694116827808630e-01
6.996996996996996954e-01 1.033322649741972160e-01 2.064964039573305779e-02 4.868294745437991777e-05 8.759694116826157728e-01
7.007007007007006738e-01 1.033322649743320248e-01 2.064964039575986968e-02 4.868294745437093922e-05 8.759694116824541243e-01
7.017017017017016522e-01 1.033322649744639055e-01 2.064964039578609523e-02 4.868294745436215040e-05 8.759694116822960286e-01
7.027027027027027417e-01 1.033322649745928579e-01 2.064964039581174138e-02 4.868294745435355810e-05 8.759694116821414855e-01
7.037037037037037202e-01 1.033322649747188682e-01 2.064964039583680119e-02 4.868294745434516231e-05 8.759694116819903842e-01
7.047047047047046986e-01 1.033322649748419642e-01 2.064964039586128161e-02 4.868294745433696303e-05 8.759694116818428355e-01
7.057057057057056770e-01 1.033322649749621319e-01 2.064964039588517916e-02 4.868294745432895349e-05 8.759694116816987286e-01
7.067067067067066555e-01 1.033322649750793715e-01 2.064964039590849385e-02 4.868294745432114723e-05 8.759694116815581744e-01
7.077077077077077449e-01 1.033322649751936689e-01 2.064964039593122913e-02 4.868294745431353071e-05 8.759694116814211728e-01
7.087087087087087234e-01 1.033322649753050521e-01 2.064964039595337808e-02 4.868294745430611070e-05 8.759694116812876130e-01
7.097097097097097018e-01 1.033322649754135070e-01 2.064964039597494763e-02 4.868294745429888043e-05 8.759694116811576059e-01
7.107107107107106803e-01 1.033322649755190337e-01 2.064964039599593085e-02 4.868294745429185345e-05 8.759694116810311515e-01
7.117117117117116587e-01 1.033322649756216183e-01 2.064964039601633466e-02 4.868294745428501620e-05 8.759694116809081388e-01
7.127127127127127482e-01 1.033322649757212885e-01 2.064964039603615562e-02 4.868294745427837546e-05 8.759694116807886788e-01
7.137137137137137266e-01 1.033322649758180306e-01 2.064964039605539717e-02 4.868294745427193123e-05 8.759694116806726605e-01
7.147147147147147050e-01 1.033322649759118445e-01 2.064964039607405238e-02 4.868294745426568352e-05 8.759694116805601949e-01
7.157157157157156835e-01 1.033322649760027162e-01 2.064964039609212473e-02 4.868294745425962554e-05 8.759694116804512820e-01
7.167167167167166619e-01 1.033322649760906736e-01 2.064964039610961768e-02 4.868294745425376407e-05 8.759694116803458108e-01
7.177177177177177514e-01 1.033322649761757028e-01 2.064964039612652777e-02 4.868294745424809911e-05 8.759694116802438923e-01
7.187187187187187298e-01 1.033322649762578038e-01 2.064964039614285499e-02 4.868294745424263067e-05 8.759694116801455266e-01
7.197197197197197083e-01 1.033322649763369627e-01 2.064964039615859934e-02 4.868294745423735873e-05 8.759694116800506025e-01
7.207207207207206867e-01 1.033322649764132073e-01 2.064964039617376082e-02 4.868294745423227654e-05 8.759694116799592312e-01
7.217217217217216652e-01 1.033322649764865236e-01 2.064964039618834291e-02 4.868294745422739085e-05 8.759694116798713015e-01
7.227227227227227546e-01 1.033322649765568979e-01 2.064964039620233865e-02 4.868294745422270168e-05 8.759694116797869246e-01
7.237237237237237331e-01 1.033322649766243578e-01 2.064964039621575501e-02 4.868294745421820901e-05 8.759694116797061003e-01
7.247247247247247115e-01 1.033322649766888895e-01 2.064964039622858849e-02 4.868294745421391286e-05 8.759694116796287178e-01
7.257257257257256899e-01 1.033322649767504930e-01 2.064964039624083911e-02 4.868294745420980645e-05 8.759694116795548879e-01
7.267267267267266684e-01 1.033322649768091545e-01 2.064964039625250686e-02 4.868294745420589654e-05 8.759694116794844998e-01
7.277277277277277578e-01 1.033322649768649015e-01 2.064964039626359174e-02 4.868294745420218315e-05 8.759694116794176644e-01
7.287287287287287363e-01 1.033322649769177204e-01 2.064964039627409723e-02 4.868294745419866627e-05 8.759694116793543817e-01
7.297297297297297147e-01 1.033322649769675972e-01 2.064964039628401637e-02 4.868294745419533912e-05 8.759694116792945406e-01
7.307307307307306932e-01 1.033322649770145596e-01 2.064964039629335613e-02 4.868294745419221527e-05 8.759694116792382523e-01
7.317317317317316716e-01 1.033322649770585938e-01 2.064964039630211301e-02 4.868294745418928114e-05 8.759694116791855167e-01
7.327327327327327611e-01 1.033322649770996998e-01 2.064964039631028703e-02 4.868294745418654353e-05 8.759694116791362228e-01
7.337337337337337395e-01 1.033322649771378637e-01 2.064964039631787818e-02 4.868294745418399566e-05 8.759694116790904816e-01
7.347347347347347180e-01 1.033322649771731133e-01 2.064964039632488993e-02 4.868294745418165107e-05 8.759694116790481822e-01
7.357357357357356964e-01 1.033322649772054347e-01 2.064964039633131535e-02 4.868294745417949622e-05 8.759694116790094354e-01
7.367367367367367859e-01 1.033322649772348140e-01 2.064964039633716136e-02 4.868294745417753788e-05 8.759694116789742413e-01
7.377377377377377643e-01 1.033322649772612789e-01 2.064964039634242451e-02 4.868294745417577605e-05 8.759694116789424889e-01
7.387387387387387427e-01 1.033322649772848156e-01 2.064964039634710480e-02 4.868294745417420396e-05 8.759694116789142893e-01
7.397397397397397212e-01 1.033322649773054103e-01 2.064964039635120222e-02 4.868294745417283515e-05 8.759694116788896423e-01
7.407407407407406996e-01 1.033322649773230906e-01 2.064964039635471676e-02 4.868294745417165608e-05 8.759694116788684370e-01
7.417417417417417891e-01 1.033322649773378427e-01 2.064964039635764845e-02 4.868294745417067352e-05 8.759694116788506735e-01
7.427427427427427675e-01 1.033322649773496527e-01 2.064964039636000073e-02 4.868294745416988748e-05 8.759694116788365736e-01
7.437437437437437460e-01 1.033322649773585483e-01 2.064964039636177015e-02 4.868294745416929117e-05 8.759694116788259155e-01
7.447447447447447244e-01 1.033322649773645158e-01 2.064964039636295323e-02 4.868294745416889814e-05 8.759694116788186991e-01
7.457457457457457028e-01 1.033322649773675550e-01 2.064964039636355692e-02 4.868294745416869486e-05 8.759694116788151463e-01
7.467467467467467923e-01 1.033322649773676521e-01 2.064964039636358120e-02 4.868294745416868808e-05 8.759694116788150353e-01
7.477477477477477708e-01 1.033322649773648350e-01 2.064964039636301915e-02 4.868294745416887781e-05 8.759694116788183660e-01
7.487487487487487492e-01 1.033322649773590896e-01 2.064964039636187423e-02 4.868294745416925729e-05 8.759694116788252494e-01
7.497497497497497276e-01 1.033322649773504021e-01 2.064964039636014992e-02 4.868294745416984004e-05 8.759694116788356855e-01
7.507507507507507061e-01 1.033322649773388002e-01 2.064964039635784274e-02 4.868294745417061254e-05 8.759694116788495633e-01
7.517517517517517955e-01 1.033322649773242702e-01 2.064964039635495269e-02 4.868294745417158154e-05 8.759694116788669938e-01
7.527527527527527740e-01 1.033322649773067980e-01 2.064964039635147977e-02 4.868294745417274028e-05 8.759694116788879770e-01
7.537537537537537524e-01 1.033322649777564384e-01 2.064964039644090130e-02 4.868294745414278242e-05 8.759694116783488527e-01
7.547547547547547309e-01 1.033322649783216113e-01 2.064964039655329750e-02 4.868294745410512673e-05 8.759694116776713946e-01
7.557557557557557093e-01 1.033322649788853409e-01 2.064964039666540921e-02 4.868294745406756590e-05 8.759694116769954908e-01
7.567567567567567988e-01 1.033322649794476411e-01 2.064964039677723642e-02 4.868294745403010671e-05 8.759694116763214744e-01
7.577577577577577772e-01 1.033322649800085119e-01 2.064964039688877567e-02 4.868294745399273562e-05 8.759694116756491233e-01
7.587587587587587556e-01 1.033322649805679394e-01 2.064964039700003043e-02 4.868294745395546617e-05 8.759694116749784376e-01
7.597597597597597341e-01 1.033322649811259236e-01 2.064964039711100069e-02 4.868294745391828481e-05 8.759694116743095282e-01
7.607607607607607125e-01 1.033322649816824784e-01 2.064964039722168646e-02 4.868294745388120510e-05 8.759694116736422842e-01
7.617617617617618020e-01 1.033322649822376038e-01 2.064964039733208426e-02 4.868294745384422025e-05 8.759694116729768165e-01
7.627627627627627804e-01 1.033322649827912859e-01 2.064964039744219756e-02 4.868294745380733027e-05 8.759694116723131252e-01
7.637637637637637589e-01 1.033322649833435386e-01 2.064964039755202291e-02 4.868294745377054194e-05 8.759694116716509882e-01
7.647647647647647373e-01 1.033322649838943480e-01 2.064964039766156376e-02 4.868294745373384169e-05 8.759694116709907385e-01
7.657657657657657158e-01 1.033322649844437280e-01 2.064964039777082011e-02 4.868294745369723632e-05 8.759694116703321543e-01
7.667667667667668052e-01 1.033322649849916647e-01 2.064964039787979197e-02 4.868294745366073258e-05 8.759694116696752353e-01
7.677677677677677837e-01 1.033322649855381720e-01 2.064964039798847587e-02 4.868294745362431694e-05 8.759694116690200927e-01
7.687687687687687621e-01 1.033322649860832360e-01 2.064964039809687527e-02 4.868294745358800295e-05 8.759694116683667264e-01
7.697697697697697405e-01 1.033322649866268705e-01 2.064964039820499017e-02 4.868294745355178382e-05 8.759694116677149145e-01
7.707707707707707190e-01 1.033322649871690618e-01 2.064964039831281711e-02 4.868294745351565956e-05 8.759694116670649899e-01
7.717717717717718084e-01 1.033322649877098237e-01 2.064964039842035956e-02 4.868294745347963016e-05 8.759694116664167307e-01
7.727727727727727869e-01 1.033322649882491562e-01 2.064964039852761751e-02 4.868294745344370241e-05 8.759694116657701368e-01
7.737737737737737653e-01 1.033322649887870454e-01 2.064964039863459097e-02 4.868294745340786276e-05 8.759694116651253193e-01
7.747747747747747438e-01 1.033322649893234912e-01 2.064964039874127646e-02 4.868294745337211797e-05 8.759694116644822781e-01
7.757757757757757222e-01 1.033322649898585077e-01 2.064964039884767746e-02 4.868294745333647482e-05 8.759694116638409023e-01
7.767767767767768117e-01 1.033322649903920948e-01 2.064964039895379050e-02 4.868294745330092654e-05 8.759694116632011918e-01
7.777777777777777901e-01 1.033322649909242386e-01 2.064964039905962251e-02 4.868294745326547313e-05 8.759694116625632576e-01
7.787787787787787686e-01 1.033322649914549390e-01 2.064964039916516655e-02 4.868294745323011459e-05 8.759694116619269888e-01
7.797797797797797470e-01 1.033322649919842240e-01 2.064964039927042264e-02 4.868294745319485091e-05 8.759694116612924963e-01
7.807807807807807254e-01 1.033322649925120518e-01 2.064964039937539769e-02 4.868294745315968210e-05 8.759694116606597802e-01
7.817817817817818149e-01 1.033322649930384640e-01 2.064964039948008478e-02 4.868294745312460816e-05 8.759694116600287295e-01
7.827827827827827933e-01 1.033322649935634191e-01 2.064964039958448391e-02 4.868294745308963587e-05 8.759694116593993440e-01
7.837837837837837718e-01 1.033322649940869586e-01 2.064964039968860202e-02 4.868294745305475166e-05 8.759694116587717350e-01
7.847847847847847502e-01 1.033322649946090549e-01 2.064964039979243215e-02 4.868294745301996910e-05 8.759694116581459022e-01
7.857857857857857287e-01 1.033322649951297079e-01 2.064964039989597780e-02 4.868294745298528141e-05 8.759694116575217349e-01
7.867867867867868181e-01 1.033322649956489314e-01 2.064964039999923548e-02 4.868294745295068181e-05 8.759694116568992328e-01
7.877877877877877966e-01 1.033322649961667117e-01 2.064964040010220866e-02 4.868294745291618385e-05 8.759694116562785071e-01
7.887887887887887750e-01 1.033322649966830625e-01 2.064964040020489736e-02 4.868294745288178753e-05 8.759694116556595578e-01
7.897897897897897534e-01 1.033322649971979840e-01 2.064964040030730155e-02 4.868294745284747931e-05 8.759694116550422738e-01
7.907907907907907319e-01 1.033322649977114621e-01 2.064964040040941778e-02 4.868294745281326596e-05 8.759694116544266551e-01
7.917917917917918214e-01 1.033322649982235109e-01 2.064964040051124952e-02 4.868294745277915425e-05 8.759694116538128128e-01
7.927927927927927998e-01 1.033322649987341163e-01 2.064964040061279676e-02 4.868294745274513063e-05 8.759694116532007468e-01
7.937937937937937782e-01 1.033322649992432785e-01 2.064964040071405604e-02 4.868294745271120865e-05 8.759694116525903462e-01
7.947947947947947567e-01 1.033322649997510251e-01 2.064964040081503083e-02 4.868294745267738154e-05 8.759694116519816109e-01
7.957957957957957351e-01 1.033322650002573145e-01 2.064964040091572112e-02 4.868294745264364930e-05 8.759694116513746520e-01
7.967967967967968246e-01 1.033322650007621885e-01 2.064964040101612344e-02 4.868294745261001193e-05 8.759694116507694694e-01
7.977977977977978030e-01 1.033322650012656052e-01 2.064964040111624127e-02 4.868294745257646943e-05 8.759694116501659522e-01
7.987987987987987815e-01 1.033322650017676064e-01 2.064964040121607461e-02 4.868294745254302857e-05 8.759694116495642113e-01
7.997997997997997599e-01 1.033322650022681644e-01 2.064964040131562345e-02 4.868294745250967580e-05 8.759694116489641358e-01
8.008008008008007383e-01 1.033322650027672790e-01 2.064964040141488433e-02 4.868294745247642467e-05 8.759694116483657256e-01
8.018018018018018278e-01 1.033322650032649642e-01 2.064964040151386071e-02 4.868294745244326164e-05 8.759694116477690917e-01
8.028028028028028062e-01 1.033322650037612062e-01 2.064964040161254913e-02 4.868294745241020025e-05 8.759694116471742342e-01
8.038038038038037847e-01 1.033322650042560187e-01 2.064964040171095652e-02 4.868294745237723372e-05 8.759694116465810421e-01
8.048048048048047631e-01 1.033322650047494018e-01 2.064964040180907595e-02 4.868294745234436207e-05 8.759694116459895152e-01
8.058058058058058526e-01 1.033322650052413416e-01 2.064964040190690742e-02 4.868294745231158528e-05 8.759694116453997648e-01
8.068068068068068310e-01 1.033322650057318520e-01 2.064964040200445786e-02 4.868294745227890336e-05 8.759694116448117907e-01
8.078078078078078095e-01 1.033322650062209191e-01 2.064964040210172033e-02 4.868294745224632309e-05 8.759694116442254819e-01
8.088088088088087879e-01 1.033322650067085430e-01 2.064964040219869484e-02 4.868294745221383090e-05 8.759694116436409494e-01
8.098098098098097664e-01 1.033322650071947513e-01 2.064964040229538833e-02 4.868294745218144036e-05 8.759694116430580824e-01
8.108108108108108558e-01 1.033322650076795024e-01 2.064964040239179385e-02 4.868294745214914469e-05 8.759694116424768806e-01
8.118118118118118343e-01 1.033322650081628380e-01 2.064964040248791488e-02 4.868294745211693711e-05 8.759694116418975662e-01
8.128128128128128127e-01 1.033322650086447164e-01 2.064964040258374794e-02 4.868294745208483117e-05 8.759694116413198062e-01
8.138138138138137911e-01 1.033322650091251793e-01 2.064964040267929998e-02 4.868294745205282011e-05 8.759694116407438225e-01
8.148148148148147696e-01 1.033322650096041989e-01 2.064964040277456406e-02 4.868294745202091068e-05 8.759694116401696151e-01
8.158158158158158590e-01 1.033322650100817752e-01 2.064964040286954017e-02 4.868294745198908935e-05 8.759694116395970731e-01
8.168168168168168375e-01 1.033322650105579221e-01 2.064964040296423178e-02 4.868294745195736288e-05 8.759694116390263074e-01
8.178178178178178159e-01 1.033322650110326257e-01 2.064964040305863890e-02 4.868294745192573806e-05 8.759694116384572071e-01
8.188188188188187944e-01 1.033322650115058999e-01 2.064964040315276153e-02 4.868294745189420810e-05 8.759694116378897721e-01
8.198198198198197728e-01 1.033322650119777447e-01 2.064964040324659966e-02 4.868294745186276624e-05 8.759694116373242245e-01
8.208208208208208623e-01 1.033322650124481462e-01 2.064964040334014983e-02 4.868294745183142602e-05 8.759694116367602312e-01
8.218218218218218407e-01 1.033322650129171183e-01 2.064964040343341203e-02 4.868294745180018067e-05 8.759694116361980143e-01
8.228228228228228192e-01 1.033322650133846471e-01 2.064964040352639321e-02 4.868294745176903696e-05 8.759694116356375737e-01
8.238238238238237976e-01 1.033322650138507465e-01 2.064964040361908643e-02 4.868294745173798135e-05 8.759694116350787985e-01
8.248248248248247760e-01 1.033322650143154026e-01 2.064964040371149515e-02 4.868294745170702060e-05 8.759694116345217996e-01
8.258258258258258655e-01 1.033322650147786154e-01 2.064964040380361590e-02 4.868294745167616149e-05 8.759694116339664660e-01
8.268268268268268439e-01 1.033322650152404126e-01 2.064964040389545563e-02 4.868294745164539048e-05 8.759694116334129088e-01
8.278278278278278224e-01 1.033322650157007666e-01 2.064964040398700393e-02 4.868294745161472111e-05 8.759694116328610169e-01
8.288288288288288008e-01 1.033322650161596773e-01 2.064964040407827120e-02 4.868294745158414661e-05 8.759694116323109014e-01
8.298298298298297793e-01 1.033322650166171586e-01 2.064964040416925051e-02 4.868294745155366698e-05 8.759694116317624513e-01
8.308308308308308687e-01 1.033322650170731966e-01 2.064964040425994532e-02 4.868294745152328221e-05 8.759694116312156664e-01
8.318318318318318472e-01 1.033322650175278051e-01 2.064964040435035564e-02 4.868294745149299231e-05 8.759694116306707690e-01
8.328328328328328256e-01 1.033322650179809843e-01 2.064964040444048146e-02 4.868294745146279728e-05 8.759694116301274258e-01
8.338338338338338041e-01 1.033322650184327202e-01 2.064964040453031932e-02 4.868294745143270390e-05 8.759694116295859700e-01
8.348348348348347825e-01 1.033322650188830127e-01 2.064964040461986922e-02 4.868294745140269860e-05 8.759694116290460686e-01
8.358358358358358720e-01 1.033322650193318759e-01 2.064964040470913809e-02 4.868294745137279495e-05 8.759694116285080545e-01
8.368368368368368504e-01 1.033322650197793097e-01 2.064964040479811899e-02 4.868294745134298617e-05 8.759694116279715947e-01
8.378378378378378288e-01 1.033322650202253001e-01 2.064964040488681540e-02 4.868294745131327225e-05 8.759694116274369113e-01
8.388388388388388073e-01 1.033322650206698612e-01 2.064964040497522385e-02 4.868294745128365320e-05 8.759694116269040043e-01
8.398398398398397857e-01 1.033322650211129790e-01 2.064964040506335127e-02 4.868294745125412902e-05 8.759694116263727626e-01
8.408408408408408752e-01 1.033322650215546673e-01 2.064964040515119073e-02 4.868294745122469971e-05 8.759694116258432972e-01
8.418418418418418536e-01 1.033322650219949124e-01 2.064964040523874222e-02 4.868294745119537204e-05 8.759694116253154972e-01
