# Transient Gas Mole fractions
t(s)            CH3CH2Br        TBAF            CH3CH2F         TBABr           C2H4            HF              
1.45000000e-03  4.96300857e-01  4.96300857e-01  3.34586227e-03  3.58138252e-03  2.35520251e-04  2.35520251e-04  
1.90000000e-03  4.95163951e-01  4.95163951e-01  4.37419007e-03  4.68209585e-03  3.07905784e-04  3.07905784e-04  
2.35000000e-03  4.94032242e-01  4.94032242e-01  5.39781731e-03  5.77777775e-03  3.79960437e-04  3.79960437e-04  
2.80000000e-03  4.92905694e-01  4.92905694e-01  6.41677614e-03  6.86846261e-03  4.51686473e-04  4.51686473e-04  
3.25000000e-03  4.91784272e-01  4.91784272e-01  7.43109848e-03  7.95418462e-03  5.23086140e-04  5.23086140e-04  
3.70000000e-03  4.90667942e-01  4.90667942e-01  8.44081591e-03  9.03497757e-03  5.94161661e-04  5.94161661e-04  
4.15000000e-03  4.89556667e-01  4.89556667e-01  9.44595970e-03  1.01108749e-02  6.64915236e-04  6.64915236e-04  
4.60000000e-03  4.88450416e-01  4.88450416e-01  1.04465609e-02  1.11819099e-02  7.35349048e-04  7.35349048e-04  
5.05000000e-03  4.87349152e-01  4.87349152e-01  1.14426501e-02  1.22481154e-02  8.05465261e-04  8.05465261e-04  
5.50000000e-03  4.86252843e-01  4.86252843e-01  1.24342579e-02  1.33095239e-02  8.75266016e-04  8.75266016e-04  
5.95000000e-03  4.85161455e-01  4.85161455e-01  1.34214144e-02  1.43661678e-02  9.44753437e-04  9.44753437e-04  
6.40000000e-03  4.84074956e-01  4.84074956e-01  1.44041494e-02  1.54180791e-02  1.01392963e-03  1.01392963e-03  
6.85000000e-03  4.82993312e-01  4.82993312e-01  1.53824928e-02  1.64652895e-02  1.08279668e-03  1.08279668e-03  
7.30000000e-03  4.81916491e-01  4.81916491e-01  1.63564738e-02  1.75078305e-02  1.15135666e-03  1.15135666e-03  
7.75000000e-03  4.80844461e-01  4.80844461e-01  1.73261216e-02  1.85457332e-02  1.21961162e-03  1.21961162e-03  
8.20000000e-03  4.79777190e-01  4.79777190e-01  1.82914649e-02  1.95790285e-02  1.28756358e-03  1.28756358e-03  
8.65000000e-03  4.78714646e-01  4.78714646e-01  1.92525325e-02  2.06077471e-02  1.35521457e-03  1.35521457e-03  
9.10000000e-03  4.77656797e-01  4.77656797e-01  2.02093527e-02  2.16319193e-02  1.42256657e-03  1.42256657e-03  
9.55000000e-03  4.76603614e-01  4.76603614e-01  2.11619534e-02  2.26515750e-02  1.48962156e-03  1.48962156e-03  
1.00000000e-02  4.75555065e-01  4.75555065e-01  2.21103626e-02  2.36667441e-02  1.55638151e-03  1.55638151e-03  
1.45000000e-02  4.65317867e-01  4.65317867e-01  3.13698748e-02  3.35780472e-02  2.20817242e-03  2.20817242e-03  
1.90000000e-02  4.55512130e-01  4.55512130e-01  4.02391313e-02  4.30716240e-02  2.83249266e-03  2.83249266e-03  
2.35000000e-02  4.46111140e-01  4.46111140e-01  4.87422952e-02  5.21733383e-02  3.43104309e-03  3.43104309e-03  
2.80000000e-02  4.37090345e-01  4.37090345e-01  5.69015747e-02  6.09069616e-02  4.00538698e-03  4.00538698e-03  
3.25000000e-02  4.28427137e-01  4.28427137e-01  6.47374175e-02  6.92943812e-02  4.55696368e-03  4.55696368e-03  
3.70000000e-02  4.20100667e-01  4.20100667e-01  7.22686817e-02  7.73557823e-02  5.08710063e-03  5.08710063e-03  
4.15000000e-02  4.12091677e-01  4.12091677e-01  7.95127869e-02  8.51098109e-02  5.59702404e-03  5.59702404e-03  
4.60000000e-02  4.04382348e-01  4.04382348e-01  8.64858496e-02  9.25737180e-02  6.08786835e-03  6.08786835e-03  
5.05000000e-02  3.96956171e-01  3.96956171e-01  9.32028019e-02  9.97634866e-02  6.56068468e-03  6.56068468e-03  
5.50000000e-02  3.89797828e-01  3.89797828e-01  9.96774991e-02  1.06693947e-01  7.01644830e-03  7.01644830e-03  
5.95000000e-02  3.82893086e-01  3.82893086e-01  1.05922815e-01  1.13378881e-01  7.45606545e-03  7.45606545e-03  
6.40000000e-02  3.76228703e-01  3.76228703e-01  1.11950728e-01  1.19831107e-01  7.88037926e-03  7.88037926e-03  
6.85000000e-02  3.69792342e-01  3.69792342e-01  1.17772395e-01  1.26062570e-01  8.29017511e-03  8.29017511e-03  
7.30000000e-02  3.63572498e-01  3.63572498e-01  1.23398223e-01  1.32084409e-01  8.68618556e-03  8.68618556e-03  
7.75000000e-02  3.57558427e-01  3.57558427e-01  1.28837931e-01  1.37907026e-01  9.06909472e-03  9.06909472e-03  
8.20000000e-02  3.51740083e-01  3.51740083e-01  1.34100604e-01  1.43540146e-01  9.43954216e-03  9.43954216e-03  
8.65000000e-02  3.46108064e-01  3.46108064e-01  1.39194747e-01  1.48992873e-01  9.79812648e-03  9.79812648e-03  
9.10000000e-02  3.40653560e-01  3.40653560e-01  1.44128327e-01  1.54273735e-01  1.01454086e-02  1.01454086e-02  
9.55000000e-02  3.35368311e-01  3.35368311e-01  1.48908817e-01  1.59390732e-01  1.04819145e-02  1.04819145e-02  
1.00000000e-01  3.30244557e-01  3.30244557e-01  1.53543236e-01  1.64351374e-01  1.08081381e-02  1.08081381e-02  
1.45000000e-01  2.86476682e-01  2.86476682e-01  1.93131134e-01  2.06725923e-01  1.35947895e-02  1.35947895e-02  
1.90000000e-01  2.52952460e-01  2.52952460e-01  2.23453681e-01  2.39182920e-01  1.57292390e-02  1.57292390e-02  
2.35000000e-01  2.26452427e-01  2.26452427e-01  2.47422874e-01  2.64839340e-01  1.74164663e-02  1.74164663e-02  
2.80000000e-01  2.04978307e-01  2.04978307e-01  2.66846144e-01  2.85629843e-01  1.87836994e-02  1.87836994e-02  
3.25000000e-01  1.87224142e-01  1.87224142e-01  2.82904727e-01  3.02818814e-01  1.99140871e-02  1.99140871e-02  
3.70000000e-01  1.72300371e-01  1.72300371e-01  2.96403229e-01  3.17267495e-01  2.08642668e-02  2.08642668e-02  
4.15000000e-01  1.59580124e-01  1.59580124e-01  3.07908650e-01  3.29582800e-01  2.16741506e-02  2.16741506e-02  
4.60000000e-01  1.48608922e-01  1.48608922e-01  3.17832066e-01  3.40204740e-01  2.23726747e-02  2.23726747e-02  
5.05000000e-01  1.39049231e-01  1.39049231e-01  3.26478775e-01  3.49460104e-01  2.29813295e-02  2.29813295e-02  
5.50000000e-01  1.30645112e-01  1.30645112e-01  3.34080273e-01  3.57596683e-01  2.35164104e-02  2.35164104e-02  
5.95000000e-01  1.23198979e-01  1.23198979e-01  3.40815275e-01  3.64805772e-01  2.39904973e-02  2.39904973e-02  
6.40000000e-01  1.16555865e-01  1.16555865e-01  3.46823950e-01  3.71237406e-01  2.44134569e-02  2.44134569e-02  
6.85000000e-01  1.10592514e-01  1.10592514e-01  3.52217781e-01  3.77010917e-01  2.47931367e-02  2.47931367e-02  
7.30000000e-01  1.05209669e-01  1.05209669e-01  3.57086546e-01  3.82222403e-01  2.51358565e-02  2.51358565e-02  
7.75000000e-01  1.00326499e-01  1.00326499e-01  3.61503357e-01  3.86950119e-01  2.54467624e-02  2.54467624e-02  
8.20000000e-01  9.58765165e-02  9.58765165e-02  3.65528352e-01  3.91258440e-01  2.57300878e-02  2.57300878e-02  
8.65000000e-01  9.18045266e-02  9.18045266e-02  3.69211453e-01  3.95200800e-01  2.59893469e-02  2.59893469e-02  
9.10000000e-01  8.80643289e-02  8.80643289e-02  3.72594450e-01  3.98821931e-01  2.62274811e-02  2.62274811e-02  
9.55000000e-01  8.46169591e-02  8.46169591e-02  3.75712584e-01  4.02159555e-01  2.64469712e-02  2.64469712e-02  
1.00000000e+00  8.14293233e-02  8.14293233e-02  3.78595790e-01  4.05245714e-01  2.66499244e-02  2.66499244e-02  
1.45000000e+00  5.91476161e-02  5.91476161e-02  3.98749520e-01  4.26818096e-01  2.80685759e-02  2.80685759e-02  
1.90000000e+00  4.64400987e-02  4.64400987e-02  4.10243427e-01  4.39121077e-01  2.88776494e-02  2.88776494e-02  
2.35000000e+00  3.82272101e-02  3.82272101e-02  4.17671957e-01  4.47072512e-01  2.94005551e-02  2.94005551e-02  
2.80000000e+00  3.24826795e-02  3.24826795e-02  4.22867866e-01  4.52634169e-01  2.97663031e-02  2.97663031e-02  
3.00000000e+00  3.04490445e-02  3.04490445e-02  4.24707282e-01  4.54603064e-01  2.98957825e-02  2.98957825e-02  
