t(s)            Temperature(K)  Pressure(Pa)    Density(kg/m3)  Mass(kg)        Volume(m3)      IntEnergy(J/kg) mdot_in(kg/s)   mdot_out(kg/s)  mdot_surf(kg/s) mdot(kg/s)      
1.00000000e-06  3.73150000e+02  1.01340491e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.05402490e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-06  3.73150000e+02  1.01347453e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.06456570e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-06  3.73150000e+02  1.01354409e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.07509794e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-06  3.73150000e+02  1.01361359e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.08562165e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.80000000e-06  3.73150000e+02  1.01368304e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.09613683e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.25000000e-06  3.73150000e+02  1.01375243e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.10664350e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.70000000e-06  3.73150000e+02  1.01382177e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.11714165e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.15000000e-06  3.73150000e+02  1.01389105e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.12763132e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.60000000e-06  3.73150000e+02  1.01396027e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.13811249e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.05000000e-06  3.73150000e+02  1.01402944e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.14858519e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.50000000e-06  3.73150000e+02  1.01409855e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.15904943e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.95000000e-06  3.73150000e+02  1.01416761e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.16950520e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.40000000e-06  3.73150000e+02  1.01423661e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.17995254e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.85000000e-06  3.73150000e+02  1.01430555e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.19039144e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.30000000e-06  3.73150000e+02  1.01437444e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.20082191e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.75000000e-06  3.73150000e+02  1.01444328e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.21124397e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.20000000e-06  3.73150000e+02  1.01451205e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.22165763e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.65000000e-06  3.73150000e+02  1.01458078e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.23206289e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.10000000e-06  3.73150000e+02  1.01464944e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.24245977e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.55000000e-06  3.73150000e+02  1.01471806e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.25284828e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.00000000e-05  3.73150000e+02  1.01478661e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.26322842e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-05  3.73150000e+02  1.01546916e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.36657206e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-05  3.73150000e+02  1.01614625e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.46909035e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-05  3.73150000e+02  1.01681795e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.57079315e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.80000000e-05  3.73150000e+02  1.01748434e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.67169014e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.25000000e-05  3.73150000e+02  1.01814546e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.77179086e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.70000000e-05  3.73150000e+02  1.01880139e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.87110471e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.15000000e-05  3.73150000e+02  1.01945218e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -5.96964093e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.60000000e-05  3.73150000e+02  1.02009790e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -6.06740860e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.05000000e-05  3.73150000e+02  1.02073860e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -6.16441671e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.50000000e-05  3.73150000e+02  1.02137434e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -6.26067404e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.95000000e-05  3.73150000e+02  1.02200518e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -6.35618928e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.40000000e-05  3.73150000e+02  1.02263117e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -6.45097098e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.85000000e-05  3.73150000e+02  1.02325238e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -6.54502756e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.30000000e-05  3.73150000e+02  1.02386885e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -6.63836731e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.75000000e-05  3.73150000e+02  1.02448064e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -6.73099840e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.20000000e-05  3.73150000e+02  1.02508780e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -6.82292888e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.65000000e-05  3.73150000e+02  1.02569039e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -6.91416664e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.10000000e-05  3.73150000e+02  1.02628846e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -7.00471950e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.55000000e-05  3.73150000e+02  1.02688205e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -7.09459514e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.00000000e-04  3.73150000e+02  1.02747122e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -7.18380112e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-04  3.73150000e+02  1.03313014e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -8.04061745e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-04  3.73150000e+02  1.03839666e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -8.83802021e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-04  3.73150000e+02  1.04331023e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -9.58198215e+05 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.80000000e-04  3.73150000e+02  1.04790517e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.02777014e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.25000000e-04  3.73150000e+02  1.05221151e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.09297232e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.70000000e-04  3.73150000e+02  1.05625561e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.15420389e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.15000000e-04  3.73150000e+02  1.06006071e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.21181683e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.60000000e-04  3.73150000e+02  1.06364740e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.26612273e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.05000000e-04  3.73150000e+02  1.06703394e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.31739837e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.50000000e-04  3.73150000e+02  1.07023665e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.36589050e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.95000000e-04  3.73150000e+02  1.07327010e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.41181979e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.40000000e-04  3.73150000e+02  1.07614735e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.45538418e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.85000000e-04  3.73150000e+02  1.07888017e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.49676173e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.30000000e-04  3.73150000e+02  1.08147916e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.53611308e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.75000000e-04  3.73150000e+02  1.08395393e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.57358351e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.20000000e-04  3.73150000e+02  1.08631317e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.60930471e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
