# Transient Gas Mass fractions
t(s)            CH3CH2Br        TBAF            CH3CH2F         TBABr           C2H4            HF              
8.65000000e-06  2.91877718e-01  7.00375280e-01  6.64303065e-04  6.74190343e-03  1.98930340e-04  1.41864995e-04  
9.10000000e-06  2.91760132e-01  7.00093126e-01  6.98580639e-04  7.08978094e-03  2.09195007e-04  1.49185130e-04  
9.55000000e-06  2.91642641e-01  6.99811200e-01  7.32830607e-04  7.43737827e-03  2.19451406e-04  1.56499369e-04  
1.00000000e-05  2.91525244e-01  6.99529500e-01  7.67053000e-04  7.78469576e-03  2.29699548e-04  1.63807720e-04  
1.45000000e-05  2.90356453e-01  6.96724928e-01  1.10776766e-03  1.12425533e-02  3.31729010e-04  2.36568914e-04  
1.90000000e-05  2.89196997e-01  6.93942754e-01  1.44576124e-03  1.46727949e-02  4.32943621e-04  3.08749007e-04  
2.35000000e-05  2.88046764e-01  6.91182712e-01  1.78106620e-03  1.80757503e-02  5.33353107e-04  3.80354933e-04  
2.80000000e-05  2.86905644e-01  6.88444538e-01  2.11371449e-03  2.14517435e-02  6.32967036e-04  4.51393516e-04  
3.25000000e-05  2.85773530e-01  6.85727973e-01  2.44373756e-03  2.48010938e-02  7.31794823e-04  5.21871471e-04  
3.70000000e-05  2.84650315e-01  6.83032762e-01  2.77116637e-03  2.81241154e-02  8.29845739e-04  5.91795409e-04  
4.15000000e-05  2.83535895e-01  6.80358655e-01  3.09603140e-03  3.14211176e-02  9.27128913e-04  6.61171841e-04  
4.60000000e-05  2.82430167e-01  6.77705405e-01  3.41836263e-03  3.46924047e-02  1.02365332e-03  7.30007168e-04  
5.05000000e-05  2.81333030e-01  6.75072769e-01  3.73818963e-03  3.79382766e-02  1.11942782e-03  7.98307703e-04  
5.50000000e-05  2.80244383e-01  6.72460507e-01  4.05554137e-03  4.11590277e-02  1.21446109e-03  8.66079638e-04  
5.95000000e-05  2.79164130e-01  6.69868384e-01  4.37044651e-03  4.43549486e-02  1.30876170e-03  9.33329089e-04  
6.40000000e-05  2.78092172e-01  6.67296169e-01  4.68293323e-03  4.75263253e-02  1.40233810e-03  1.00006207e-03  
6.85000000e-05  2.77028416e-01  6.64743632e-01  4.99302930e-03  5.06734397e-02  1.49519860e-03  1.06628453e-03  
7.30000000e-05  2.75972767e-01  6.62210548e-01  5.30076206e-03  5.37965693e-02  1.58735140e-03  1.13200228e-03  
7.75000000e-05  2.74925132e-01  6.59696696e-01  5.60615843e-03  5.68959873e-02  1.67880454e-03  1.19722109e-03  
8.20000000e-05  2.73885422e-01  6.57201858e-01  5.90924491e-03  5.99719626e-02  1.76956597e-03  1.26194661e-03  
8.65000000e-05  2.72853545e-01  6.54725819e-01  6.21004761e-03  6.30247600e-02  1.85964351e-03  1.32618442e-03  
9.10000000e-05  2.71829415e-01  6.52268367e-01  6.50859223e-03  6.60546407e-02  1.94904485e-03  1.38994001e-03  
9.55000000e-05  2.70812944e-01  6.49829294e-01  6.80490411e-03  6.90618616e-02  2.03777757e-03  1.45321878e-03  
1.00000000e-04  2.69804047e-01  6.47408394e-01  7.09900821e-03  7.20466761e-02  2.12584916e-03  1.51602607e-03  
1.45000000e-04  2.60113668e-01  6.24155843e-01  9.92385448e-03  1.00715580e-01  2.97176974e-03  2.11928507e-03  
1.90000000e-04  2.51095242e-01  6.02515676e-01  1.25528195e-02  1.27396518e-01  3.75903227e-03  2.68071273e-03  
2.35000000e-04  2.42681219e-01  5.82325802e-01  1.50055951e-02  1.52289336e-01  4.49353357e-03  3.20451430e-03  
2.80000000e-04  2.34812807e-01  5.63445153e-01  1.72993189e-02  1.75567965e-01  5.18040571e-03  3.69434965e-03  
3.25000000e-04  2.27438605e-01  5.45750383e-01  1.94489757e-02  1.97384482e-01  5.82413594e-03  4.15341882e-03  
3.70000000e-04  2.20513467e-01  5.29133167e-01  2.14677255e-02  2.17872443e-01  6.42866510e-03  4.58453218e-03  
4.15000000e-04  2.13997587e-01  5.13497984e-01  2.33671725e-02  2.37149621e-01  6.99746818e-03  4.99016788e-03  
4.60000000e-04  2.07855726e-01  4.98760279e-01  2.51575889e-02  2.55320265e-01  7.53362129e-03  5.37251959e-03  
5.05000000e-04  2.02056579e-01  4.84844934e-01  2.68481006e-02  2.72476993e-01  8.03985719e-03  5.73353619e-03  
5.50000000e-04  1.96572240e-01  4.71684987e-01  2.84468425e-02  2.88702364e-01  8.51861199e-03  6.07495494e-03  
5.95000000e-04  1.91377752e-01  4.59220551e-01  2.99610899e-02  3.04070213e-01  8.97206426e-03  6.39832947e-03  
6.40000000e-04  1.86450729e-01  4.47397912e-01  3.13973683e-02  3.18646769e-01  9.40216821e-03  6.70505339e-03  
6.85000000e-04  1.81771031e-01  4.36168741e-01  3.27615490e-02  3.32491616e-01  9.81068193e-03  6.99638048e-03  
7.30000000e-04  1.77320492e-01  4.25489447e-01  3.40589277e-02  3.45658500e-01  1.01991913e-02  7.27344171e-03  
7.75000000e-04  1.73082680e-01  4.15320606e-01  3.52942938e-02  3.58196030e-01  1.05691306e-02  7.53725987e-03  
8.20000000e-04  1.69042701e-01  4.05626472e-01  3.64719898e-02  3.70148274e-01  1.09218002e-02  7.78876230e-03  
8.65000000e-04  1.65187017e-01  3.96374564e-01  3.75959619e-02  3.81555283e-01  1.12583817e-02  8.02879173e-03  
9.10000000e-04  1.61503299e-01  3.87535297e-01  3.86698041e-02  3.92453533e-01  1.15799515e-02  8.25811571e-03  
9.55000000e-04  1.57980293e-01  3.79081666e-01  3.96967971e-02  4.02876317e-01  1.18874920e-02  8.47743483e-03  
1.00000000e-03  1.54607706e-01  3.70988974e-01  4.06799413e-02  4.12854088e-01  1.21819016e-02  8.68738983e-03  
1.45000000e-03  1.27408377e-01  3.05722815e-01  4.86088290e-02  4.93323075e-01  1.45562641e-02  1.03806405e-02  
1.90000000e-03  1.08347385e-01  2.59985005e-01  5.41653067e-02  5.49714861e-01  1.62201914e-02  1.15672520e-02  
2.35000000e-03  9.42474495e-02  2.26151500e-01  5.82755846e-02  5.91429401e-01  1.74510438e-02  1.24450209e-02  
2.80000000e-03  8.33947598e-02  2.00109925e-01  6.14392567e-02  6.23536993e-01  1.83984282e-02  1.31206377e-02  
3.25000000e-03  7.47833768e-02  1.79446478e-01  6.39495646e-02  6.49013697e-01  1.91501579e-02  1.36567256e-02  
3.70000000e-03  6.77839710e-02  1.62651051e-01  6.59899643e-02  6.69721381e-01  1.97611703e-02  1.40924624e-02  
